word_id,language_id,word,noun_meaning,word_note,example_sentences,parent_language_id,verb_meaning,adj_meaning,adv_meaning,pron_meaning,part_meaning,interj_meaning,conj_meaning,noun_sentence_examples,verb_sentence_examples,adj_sentence_examples,adv_sentence_examples,pron_sentence_examples,interj_sentence_examples,part_sentence_examples,conj_sentence_examples,word_type,adp_meaning,affix_meaning,noun_word_forms,verb_word_forms,adj_word_forms,adv_word_forms,adp_word_forms,pron_word_forms,part_word_forms,interj_word_forms,conj_word_forms,affix_word_forms,noun_word_categories,verb_word_categories,adj_word_categories,adv_word_categories,adp_word_categories,conj_word_categories,pron_word_categories,interj_word_categories,affix_word_categories,part_word_categories,ipa,adp_sentence_examples,date_added,date_edited,made_by,edited_by,tags,variant_of,clitic_word_forms,clitic_meaning,clitic_word_categories,inflection,thesaurus,num_meaning,num_word_forms,num_word_categories
1745973775286,1745868984525,abhîl,,,,,"[""surround"",""be numerous""]",,,,,,,[],[],[],[],[],[],[],[],"""word""",,,"[{""name"":""supine"",""type"":""noun"",""word"":""abhîl""}]","[{""ipa"":""ˈkab.hɪl"",""name"":""supine"",""type"":""verb"",""word"":""kabhîl""},{""ipa"":""abˈhɪl.hat"",""name"":""perfect"",""type"":""verb"",""word"":""abhîlhat""}]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],abˈhɪl.,[],2025-06-14 16:12:00+00,2026-07-12 21:30:08.432+00,1745767579287,1745767579287,[],,[],,,,{},,[],[]
1745973806191,1745868975050,abhîl,,,,,"[""surround"",""be numerous""]",,,,,,,,,,,,,,,"""word""",,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745973895663,1745973852050,abhilta,,,,,"[""surround"",""be numerous""]",,,,,,,,,,,,,,,"""word""",,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745973982136,1745973903626,abhilta,,,,,"[""surround"",""be numerous""]",,,,,,,,,,,,,,,"""word""",,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745974230427,1745973852050,kabhil,"[""multitude""]",,,,,"[""surrounding"",""numerous""]",,"[""many""]",,,,,,,,,,,,"""word""",,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745976376553,1745973852050,k,,,,,,,,,,,,,,,,,,,,prefix,,"[""supine prefix""]",,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745976754522,1745868984525,k,,,,,,,,,,,,,,,,,,,,prefix,,"[""supine prefix""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],k,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745976782568,1745868975050,k,,,,,,,,,,,,,,,,,,,,prefix,,"[""supine prefix""]",,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745979338388,1745973903626,kabhil,"[""multitude""]",,,,,,,"[""many""]",,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745979432260,1745973916182,kähl,,,,,,,,"[""many""]",,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745979847022,1745979793585,sähl,,,,,,,,"[""many"",""most""]",,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745979933379,1745979802779,sähl,,,,,,,,"[""many"",""most""]",,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745979964736,1745979812191,sehl,,,,,,,,"[""many"",""most""]",,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745980106521,1745881826951,abilite,,,,,"[""be wrapped around"",""cling to""]",,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745980188974,1745890490563,abiliti,,,,,"[""be wrapped around"",""cling to""]",,,,,,,,,,,,,,,word,,,[],[],[],[],[],[],[],[],[],[],[],"[{""abbreviation"":""trans"",""category_name"":""Transitivity"",""category_type"":""transitive""}]",[],[],[],[],[],[],[],[],ɑˈbi.liti,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745980274479,1745980210575,bhīlīthi,,,,,"[""be wrapped around"",""cling to"",""cover"",""conceal"",""insulate""]",,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745980392798,1745980318467,wīlth,,,,,"[""be wrapped around"",""cling to"",""cover"",""conceal"",""insulate""]",,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745980500971,1745980210575,cabīlībi,"[""wrapping"",""packaging""]",,,,,,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745981093079,1745980318467,ceowil,"[""wrapping"",""packaging""]",,,,,,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745981302706,1745981267773,cōīlīu,"[""wrapping"",""packaging""]",,,,,,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745981423531,1745981374658,celi,"[""wrapping"",""packaging""]",,,,,,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745981496768,1745981465952,cowīlīu,"[""wrapping"",""packaging""]",,,,,,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745981597319,1745981537670,aulit,,,,,"[""cling to"",""clasp onto"",""grab onto"",""grip"",""hang onto""]",,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745981686993,1745981537670,h,,,,,,,,,,,,,,,,,,,,suffix,,"[""causative suffix""]",,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745981715539,1745981537670,auliht,,,,,"[""fasten""]",,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745981822356,1745981537670,hnvot,,,,,"[""tackle"",""hold down"",""grapple to the ground""]",,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
1745981936659,1745981537670,aulihnvot,,,,,"[""pin down"",""secure to the ground"",""press down"",""hold down""]",,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-14 16:12:00+00,,1745767579287,,[],,,,,,,,,
